objectID,isHighlight,accessionNumber,accessionYear,isPublicDomain,primaryImage,primaryImageSmall,additionalImages_0,constituents,department,objectName,title,culture,period,dynasty,reign,portfolio,artistRole,artistPrefix,artistDisplayName,artistDisplayBio,artistSuffix,artistAlphaSort,artistNationality,artistBeginDate,artistEndDate,artistGender,artistWikidata_URL,artistULAN_URL,objectDate,objectBeginDate,objectEndDate,medium,dimensions,measurements_0_elementName,measurements_0_elementDescription,measurements_0_elementMeasurements_Height,measurements_0_elementMeasurements_Width,creditLine,geographyType,city,state,county,country,region,subregion,locale,locus,excavation,river,classification,rightsAndReproduction,linkResource,metadataDate,repository,objectURL,tags_0_term,tags_0_AAT_URL,tags_0_Wikidata_URL,tags_1_term,tags_1_AAT_URL,tags_1_Wikidata_URL,objectWikidata_URL,isTimelineWork,GalleryNumber,additionalImages,tags,measurements_1_elementName,measurements_1_elementDescription,measurements_1_elementMeasurements_Depth,measurements_1_elementMeasurements_Height,measurements_1_elementMeasurements_Width,additionalImages_1,tags_2_term,tags_2_AAT_URL,tags_2_Wikidata_URL,constituents_0_constituentID,constituents_0_role,constituents_0_name,constituents_0_constituentULAN_URL,constituents_0_constituentWikidata_URL,constituents_0_gender,constituents_1_constituentID,constituents_1_role,constituents_1_name,constituents_1_constituentULAN_URL,constituents_1_constituentWikidata_URL,constituents_1_gender,measurements_0_elementMeasurements_Depth
525,False,34.100.64,1934,True,https://images.metmuseum.org/CRDImages/ad/original/APS2360.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/APS2360.jpg,https://images.metmuseum.org/CRDImages/ad/original/97416.jpg,,The American Wing,"Birth and baptismal certificate, Fraktur",Birth and Baptismal Certificate,American,,,,,,,,,,,,,,,,,1795,1795,1795,Watercolor and iron gall ink on off-white laid paper,12 1/4 x 14 3/4 in. (31.1 x 37.5 cm),Overall,,31.1,37.4651,"Gift of Mrs. Robert W. de Forest, 1933",Made in,,Pennsylvania,Dauphin County,United States,Mid-Atlantic,,,,,,,,,2021-07-03T04:41:36.377Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/525,Birds,http://vocab.getty.edu/page/aat/300266506,https://www.wikidata.org/wiki/Q5113,Women,http://vocab.getty.edu/page/aat/300025943,https://www.wikidata.org/wiki/Q467,,False,,,,,,,,,,,,,,,,,,,,,,,,,
526,False,34.100.67,1934,True,https://images.metmuseum.org/CRDImages/ad/original/97419.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/97419.jpg,,,The American Wing,"Birth and baptismal certificate, Fraktur",Birth and Baptismal Certificate,American,,,,,,,,,,,,,,,,,1787,1787,1787,Ink and watercolor on paper,12 1/4 x 16 1/2 in. (31.1 x 41.9 cm),Overall,,31.1,41.9101,"Gift of Mrs. Robert W. de Forest, 1933",Made in,,Pennsylvania,Chester County,United States,Mid-Atlantic,,,,,,,,,2021-07-03T04:41:36.377Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/526,,,,,,,,False,,[],,,,,,,,,,,,,,,,,,,,,,,
527,False,34.100.69,1934,True,https://images.metmuseum.org/CRDImages/ad/original/97421.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/97421.jpg,,,The American Wing,"Birth and baptismal certificate, Fraktur",Birth and Baptismal Certificate,American,,,,,,,,,,,,,,,,,1810,1810,1810,Ink and watercolor on paper,12 1/2 x 14 1/2 in. (31.8 x 36.8 cm),Overall,,31.7501,36.8,"Gift of Mrs. Robert W. de Forest, 1933",Made in,,Pennsylvania,Dauphin County,United States,Mid-Atlantic,,,,,,,,,2021-07-03T04:41:36.377Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/527,Birds,http://vocab.getty.edu/page/aat/300266506,https://www.wikidata.org/wiki/Q5113,,,,,False,,[],,Framed,,1.5875,40.6401,46.0376,,,,,,,,,,,,,,,,,
528,False,34.100.70,1934,True,https://images.metmuseum.org/CRDImages/ad/original/DP255525.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DP255525.jpg,https://images.metmuseum.org/CRDImages/ad/original/ADA152.jpg,,The American Wing,"Birth and baptismal certificate, Fraktur",Birth and Baptismal Certificate,American,,,,,,,,,,,,,,,,,1822,1822,1822,Ink and watercolor on paper,12 3/8 x 15 5/8 in. (31.4 x 39.7 cm),Overall,,31.4,39.6876,"Gift of Mrs. Robert W. de Forest, 1933",Made in,,Pennsylvania,Lebanon County,United States,Mid-Atlantic,,,,,,,,,2021-07-03T04:41:36.377Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/528,Flowers,http://vocab.getty.edu/page/aat/300132399,https://www.wikidata.org/wiki/Q506,,,,,False,,,,,,,,,https://images.metmuseum.org/CRDImages/ad/original/97447.jpg,,,,,,,,,,,,,,,,
529,False,34.100.221,1934,True,https://images.metmuseum.org/CRDImages/ad/original/34.100.221.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/34.100.221.jpg,https://images.metmuseum.org/CRDImages/ad/original/132380.jpg,,The American Wing,"Birth and baptismal certificate, Fraktur",Birth and Baptismal Certificate,American,,,,,,,,,,,,,,,,,1784,1784,1784,Ink and watercolor on paper,13 1/2 x 16 1/4 in. (34.3 x 41.3 cm),Overall,,34.3,41.2751,"Gift of Mrs. Robert W. de Forest, 1933",Made in,,Pennsylvania,Northhampton County,United States,Mid-Atlantic,,,,,,,,,2021-07-03T04:41:36.377Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/529,,,,,,,,False,,,,,,,,,https://images.metmuseum.org/CRDImages/ad/original/98442.jpg,,,,,,,,,,,,,,,,
530,False,44.109.7,1944,True,https://images.metmuseum.org/CRDImages/ad/original/APS2375.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/APS2375.jpg,https://images.metmuseum.org/CRDImages/ad/original/133308.jpg,,The American Wing,"Birth and baptismal certificate, Fraktur",Birth and Baptismal Certificate,American,,,,,,,,,,,,,,,,,1802,1802,1802,"Watercolor, gum arabic, and iron gall ink on off-white laid paper",12 15/16 x 15 15/16 in. (32.9 x 40.5 cm),Overall,,32.9,40.4813,"Rogers Fund, 1944",Made in,,Pennsylvania,Berks County,United States,Mid-Atlantic,,,,,,,,,2021-07-03T04:41:36.377Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/530,Birds,http://vocab.getty.edu/page/aat/300266506,https://www.wikidata.org/wiki/Q5113,Women,http://vocab.getty.edu/page/aat/300025943,https://www.wikidata.org/wiki/Q467,,False,,,,,,,,,,Angels,http://vocab.getty.edu/page/aat/300379004,https://www.wikidata.org/wiki/Q235113,,,,,,,,,,,,,
531,False,59.35.1,1959,True,https://images.metmuseum.org/CRDImages/ad/original/168677.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/168677.jpg,,,The American Wing,"Birth and baptismal certificate, Fraktur",Birth and Baptismal Certificate,American,,,,,,,,,,,,,,,,,1769,1769,1769,Ink and watercolor on paper,13 1/4 x 15 3/4 in. (33.7 x 40 cm),Overall,,33.7,40.0051,"Rogers Fund, 1959",Made in,,Pennsylvania,Lancaster County,United States,Mid-Atlantic,,,,,,,,,2021-07-03T04:41:36.377Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/531,Birds,http://vocab.getty.edu/page/aat/300266506,https://www.wikidata.org/wiki/Q5113,Flowers,http://vocab.getty.edu/page/aat/300132399,https://www.wikidata.org/wiki/Q506,,False,,[],,,,,,,,,,,,,,,,,,,,,,,
532,False,34.100.63,1934,True,https://images.metmuseum.org/CRDImages/ad/original/97415.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/97415.jpg,,,The American Wing,"Birth and baptismal certificate, Fraktur",Birth and Baptismal Certificate,American,,,,,Maker,Attributed to,Henrich Dulhauer,,,"Dulhauer, Henrich",,,9999,,,,1784,1784,1784,Ink and watercolor on paper,13 1/2 x 17 in. (34.3 x 43.2 cm),Overall,,34.3,43.1801,"Gift of Mrs. Robert W. de Forest, 1933",Made in,,Pennsylvania,Lancaster County,United States,Mid-Atlantic,,,,,,,,,2021-07-03T04:41:36.377Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/532,Birds,http://vocab.getty.edu/page/aat/300266506,https://www.wikidata.org/wiki/Q5113,,,,,False,,[],,,,,,,,,,,1219.0,Maker,Attributed to Henrich Dulhauer,,,,1220.0,Maker,Possibly Johann Heinrich Otto,http://vocab.getty.edu/page/ulan/500331480,,,
533,False,59.35.2,1959,False,,,,,The American Wing,"Birth and baptismal certificate, Fraktur",Birth and Baptismal Certificate,American,,,,,Maker,,Friederich Krebs,died 1815,,"Krebs, Friederich",,1765,1815,,,,1803,1803,1803,Ink and watercolor on paper,12 5/8 x 15 3/4 in. (32.1 x 40 cm),Overall,,32.1,40.0051,"Rogers Fund, 1959",Made in,,Pennsylvania,,United States,Mid-Atlantic,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/533,,,,,,,,False,,[],,,,,,,,,,,1221.0,Maker,Friederich Krebs,,,,,,,,,,
534,False,34.100.66,1934,True,https://images.metmuseum.org/CRDImages/ad/original/DP255526.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DP255526.jpg,https://images.metmuseum.org/CRDImages/ad/original/34_100_66.jpg,,The American Wing,"Birth and baptismal certificate, Fraktur",Birth and Baptismal Certificate,American,,,,,Maker,,Johann Heinrich Otto,ca. 1733–ca. 1800,,"Otto, Johann Heinrich",,1730,1800,,,http://vocab.getty.edu/page/ulan/500331480,1782,1782,1782,Ink and watercolor on paper,12 5/8 x 15 3/4 in. (32.1 x 40 cm),Overall,,32.1,40.0051,"Gift of Mrs. Robert W. de Forest, 1933",Made in,,Pennsylvania,Lancaster County,United States,Mid-Atlantic,,,,,,,,,2021-06-10T04:42:27.78Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/534,Mythical Creatures,http://vocab.getty.edu/page/aat/300375725,https://www.wikidata.org/wiki/Q2239243,Parrots,http://vocab.getty.edu/page/aat/300250076,https://www.wikidata.org/wiki/Q15548309,,False,,,,,,,,,https://images.metmuseum.org/CRDImages/ad/original/ADA6359.jpg,Flowers,http://vocab.getty.edu/page/aat/300132399,https://www.wikidata.org/wiki/Q506,1220.0,Maker,Johann Heinrich Otto,http://vocab.getty.edu/page/ulan/500331480,,,,,,,,,
